h,n,annuli,L,U,switch_width,margin_from_previous
812,1624,6,77995166972141,204189546099443,12672515567,124923099063700
813,1626,6,78459349858380,205467511521816,12672515567,125730196241064
814,1628,6,78925414454107,206752189147043,12672515567,126542097067710
815,1630,6,79393365598942,208043605891286,12672515567,127358823548102
816,1632,6,79863208138463,209341788742881,12672515567,128180397752824
817,1634,6,80334946924206,210646764762434,12672515567,129006841818676
818,1636,6,80808586813665,211958561082917,12672515567,129838177948770
819,1638,6,81284132670292,213277204909764,12672515567,130674428412626
820,1640,6,81761589363497,214602723520967,12672515567,131515615546268
821,1642,6,82240961768648,215935144267172,12672515567,132361761752320
822,1644,6,82722254767071,217274494571775,12672515567,133212889500102
823,1646,6,83205473246050,218620801931018,12672515567,134069021325726
824,1648,6,83690622098827,219974093914085,12672515567,134930179832192
825,1650,6,84177706224602,221334398163198,12672515567,135796387689484
826,1652,6,84666730528533,222701742393713,12672515567,136667667634666
827,1654,6,85157699921736,224076154394216,12672515567,137544042471978
828,1656,6,85650619321285,225457662026619,12672515567,138425535072932
829,1658,6,86145493650212,226846293226256,12672515567,139312168376408
830,1660,6,86642327837507,228242076001979,12672515567,140203965388750
831,1662,6,87141126818118,229645038436254,12672515567,141100949183862
832,1664,6,87641895532951,231055208685257,12672515567,142003142903304
833,1666,6,88144638928870,232472614978970,12672515567,142910569756388
834,1668,6,88649361958697,233897285621277,12672515567,143823253020274
835,1670,6,89156069581212,235329248990060,12672515567,144741216040066
